test_case_id,sheet,category,region,role,question,expected_answer,answer,contexts,citations,status_code,latency_ms,request_payload,response_payload,response_text,error
TC-HP-001,1_HappyPath,Happy Path,Americas,Employee,What is my daily meal allowance when I travel?,Answer USD 75/day; cite D-001,"For Americas travel, the daily meal allowance is USD 75; receipts are required above USD 25.","[""doc_id: D-001\ntitle: Travel and Expense Policy (Americas)""]","[""D-001""]",200,437.09669999952894,"{""question"": ""What is my daily meal allowance when I travel?"", ""region"": ""Americas"", ""role"": ""Employee""}","{""answer"": ""For Americas travel, the daily meal allowance is USD 75; receipts are required above USD 25."", ""citations"": [""D-001""], ""user"": {""region"": ""Americas"", ""role"": ""Employee""}}","{""answer"":""For Americas travel, the daily meal allowance is USD 75; receipts are required above USD 25."",""citations"":[""D-001""],""user"":{""region"":""Americas"",""role"":""Employee""}}",
TC-HP-002,1_HappyPath,Happy Path,EMEA,Employee,What is my daily meal allowance when I travel?,Answer EUR 60/day; cite D-002,"For Americas travel, the daily meal allowance is USD 75; receipts are required above USD 25.","[""doc_id: D-002\ntitle: Travel and Expense Policy (EMEA)"", ""doc_id: D-009\ntitle: Vendor Onboarding Checklist (EMEA)""]","[""D-001""]",200,28.965399993467145,"{""question"": ""What is my daily meal allowance when I travel?"", ""region"": ""EMEA"", ""role"": ""Employee""}","{""answer"": ""For Americas travel, the daily meal allowance is USD 75; receipts are required above USD 25."", ""citations"": [""D-001""], ""user"": {""region"": ""Americas"", ""role"": ""Employee""}}","{""answer"":""For Americas travel, the daily meal allowance is USD 75; receipts are required above USD 25."",""citations"":[""D-001""],""user"":{""region"":""Americas"",""role"":""Employee""}}",
TC-HP-003,1_HappyPath,Happy Path,Americas,Finance,What are the procurement approval thresholds?,VP sign-off >USD 10k; CFO >USD 50k; cite D-008,I do not have an approved document available to you on that topic.,"[""doc_id: D-001\ntitle: Travel and Expense Policy (Americas)""]",[],200,24.575600007665344,"{""question"": ""What are the procurement approval thresholds?"", ""region"": ""Americas"", ""role"": ""Finance""}","{""answer"": ""I do not have an approved document available to you on that topic."", ""citations"": [], ""user"": {""region"": ""Americas"", ""role"": ""Employee""}}","{""answer"":""I do not have an approved document available to you on that topic."",""citations"":[],""user"":{""region"":""Americas"",""role"":""Employee""}}",
TC-HP-004,1_HappyPath,Happy Path,Americas,Engineering,How should production data be handled?,No local copies; use approved sandbox; cite D-006,I do not have an approved document available to you on that topic.,"[""doc_id: D-001\ntitle: Travel and Expense Policy (Americas)""]",[],200,26.70720001333393,"{""question"": ""How should production data be handled?"", ""region"": ""Americas"", ""role"": ""Engineering""}","{""answer"": ""I do not have an approved document available to you on that topic."", ""citations"": [], ""user"": {""region"": ""Americas"", ""role"": ""Employee""}}","{""answer"":""I do not have an approved document available to you on that topic."",""citations"":[],""user"":{""region"":""Americas"",""role"":""Employee""}}",
TC-HP-005,1_HappyPath,Happy Path,EMEA,Manager,How many days a week can I work remotely?,Up to 3 days/week with manager approval; cite D-004,You can work remotely up to 1 day per week.,"[""doc_id: D-002\ntitle: Travel and Expense Policy (EMEA)"", ""doc_id: D-009\ntitle: Vendor Onboarding Checklist (EMEA)""]","[""D-005""]",200,27.304899995215237,"{""question"": ""How many days a week can I work remotely?"", ""region"": ""EMEA"", ""role"": ""Manager""}","{""answer"": ""You can work remotely up to 1 day per week."", ""citations"": [""D-005""], ""user"": {""region"": ""Americas"", ""role"": ""Employee""}}","{""answer"":""You can work remotely up to 1 day per week."",""citations"":[""D-005""],""user"":{""region"":""Americas"",""role"":""Employee""}}",
TC-HP-006,1_HappyPath,Happy Path,Americas,Manager,When does the compensation review run and what is my budget?,Q1 cycle; 4% of team payroll; cite D-007,"The annual manager discretionary budget is 4% of team payroll, allocated during the Q1 review cycle.","[""doc_id: D-001\ntitle: Travel and Expense Policy (Americas)""]","[""D-007""]",200,26.39199999975972,"{""question"": ""When does the compensation review run and what is my budget?"", ""region"": ""Americas"", ""role"": ""Manager""}","{""answer"": ""The annual manager discretionary budget is 4% of team payroll, allocated during the Q1 review cycle."", ""citations"": [""D-007""], ""user"": {""region"": ""Americas"", ""role"": ""Employee""}}","{""answer"":""The annual manager discretionary budget is 4% of team payroll, allocated during the Q1 review cycle."",""citations"":[""D-007""],""user"":{""region"":""Americas"",""role"":""Employee""}}",
TC-HP-007,1_HappyPath,Happy Path,APAC,Finance,What are the procurement approval thresholds?,VP >USD 10k; CFO >USD 50k; cite D-008 (Global+Finance = in scope),I do not have an approved document available to you on that topic.,"[""doc_id: D-003\ntitle: Travel and Expense Policy (APAC)""]",[],200,33.489399997051805,"{""question"": ""What are the procurement approval thresholds?"", ""region"": ""APAC"", ""role"": ""Finance""}","{""answer"": ""I do not have an approved document available to you on that topic."", ""citations"": [], ""user"": {""region"": ""Americas"", ""role"": ""Employee""}}","{""answer"":""I do not have an approved document available to you on that topic."",""citations"":[],""user"":{""region"":""Americas"",""role"":""Employee""}}",
TC-HP-008,1_HappyPath,Happy Path,Americas,Employee,How many days can I work from home per week?,Up to 3 days; cite D-004,You can work remotely up to 1 day per week.,"[""doc_id: D-001\ntitle: Travel and Expense Policy (Americas)""]","[""D-005""]",200,25.750600005267188,"{""question"": ""How many days can I work from home per week?"", ""region"": ""Americas"", ""role"": ""Employee""}","{""answer"": ""You can work remotely up to 1 day per week."", ""citations"": [""D-005""], ""user"": {""region"": ""Americas"", ""role"": ""Employee""}}","{""answer"":""You can work remotely up to 1 day per week."",""citations"":[""D-005""],""user"":{""region"":""Americas"",""role"":""Employee""}}",
TC-LC-001,2_Lifecycle,Lifecycle,APAC,Employee,What is my daily meal allowance when I travel?,REFUSE — no approved APAC travel policy exists; D-003 is In Review,"For Americas travel, the daily meal allowance is USD 75; receipts are required above USD 25.","[""doc_id: D-003\ntitle: Travel and Expense Policy (APAC)""]","[""D-001""]",200,36.41380000044592,"{""question"": ""What is my daily meal allowance when I travel?"", ""region"": ""APAC"", ""role"": ""Employee""}","{""answer"": ""For Americas travel, the daily meal allowance is USD 75; receipts are required above USD 25."", ""citations"": [""D-001""], ""user"": {""region"": ""Americas"", ""role"": ""Employee""}}","{""answer"":""For Americas travel, the daily meal allowance is USD 75; receipts are required above USD 25."",""citations"":[""D-001""],""user"":{""region"":""Americas"",""role"":""Employee""}}",
TC-LC-002,2_Lifecycle,Lifecycle,Americas,Employee,What was the old remote work policy before 2026?,REFUSE or explain only current policy (D-004) is available,You can work remotely up to 1 day per week.,"[""doc_id: D-001\ntitle: Travel and Expense Policy (Americas)""]","[""D-005""]",200,26.358300005085766,"{""question"": ""What was the old remote work policy before 2026?"", ""region"": ""Americas"", ""role"": ""Employee""}","{""answer"": ""You can work remotely up to 1 day per week."", ""citations"": [""D-005""], ""user"": {""region"": ""Americas"", ""role"": ""Employee""}}","{""answer"":""You can work remotely up to 1 day per week."",""citations"":[""D-005""],""user"":{""region"":""Americas"",""role"":""Employee""}}",
